time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.8480010000,0.9350000000,1.937544424e-02,1.412732040e-09,-1.525872001e-02,-2.869127053e-09
0.8490010000,0.9400000000,1.943284311e-02,1.412945251e-09,-1.531612809e-02,-2.869334887e-09
0.8500010000,0.9450000000,1.948979875e-02,1.413159115e-09,-1.537328879e-02,-2.869540207e-09
0.8510010000,0.9500000000,1.954631188e-02,1.413372215e-09,-1.543020227e-02,-2.869746784e-09
0.8520010000,0.9550000000,1.960238319e-02,1.413585819e-09,-1.548686868e-02,-2.869953362e-09
0.8530010000,0.9600000000,1.965801341e-02,1.413799585e-09,-1.554328818e-02,-2.870160459e-09
0.8540010000,0.9650000000,1.971320323e-02,1.414012958e-09,-1.559946091e-02,-2.870366516e-09
0.8550010000,0.9700000000,1.976795338e-02,1.414226817e-09,-1.565538703e-02,-2.870573093e-09
0.8560010000,0.9750000000,1.982226455e-02,1.414440269e-09,-1.571106670e-02,-2.870780927e-09
0.8570010000,0.9800000000,1.987613744e-02,1.414653864e-09,-1.576650006e-02,-2.870987504e-09
0.8580010000,0.9850000000,1.992957277e-02,1.414867769e-09,-1.582168727e-02,-2.871194081e-09
0.8590010000,0.9900000000,1.998257123e-02,1.415081554e-09,-1.587662848e-02,-2.871399922e-09
0.8600010000,0.9950000000,2.003513353e-02,1.415295144e-09,-1.593132385e-02,-2.871607236e-09
0.8610010000,1.0000000000,2.008726036e-02,1.415508878e-09,-1.598577353e-02,-2.871814333e-09
0.8620010000,1.0050000000,2.013895243e-02,1.415722880e-09,-1.603997766e-02,-2.872020910e-09
0.8630010000,1.0100000000,2.019021043e-02,1.415936410e-09,-1.609393641e-02,-2.872228007e-09
0.8640010000,1.0150000000,2.024103506e-02,1.416150098e-09,-1.614764992e-02,-2.872434064e-09
0.8650010000,1.0200000000,2.029142701e-02,1.416364295e-09,-1.620111835e-02,-2.872641161e-09
0.8660010000,1.0250000000,2.034138699e-02,1.416577825e-09,-1.625434184e-02,-2.872848995e-09
0.8670010000,1.0300000000,2.039091568e-02,1.416791860e-09,-1.630732056e-02,-2.873055572e-09
0.8680010000,1.0350000000,2.044001377e-02,1.417005496e-09,-1.636005465e-02,-2.873263406e-09
0.8690010000,1.0400000000,2.048868196e-02,1.417219693e-09,-1.641254426e-02,-2.873469983e-09
0.8700010000,1.0450000000,2.053692093e-02,1.417433445e-09,-1.646478955e-02,-2.873676560e-09
0.8710010000,1.0500000000,2.058473138e-02,1.417647471e-09,-1.651679067e-02,-2.873884177e-09
0.8720010000,1.0550000000,2.063211399e-02,1.417861343e-09,-1.656854776e-02,-2.874091491e-09
0.8730010000,1.0600000000,2.067906945e-02,1.418075318e-09,-1.662006099e-02,-2.874299325e-09
0.8740010000,1.0650000000,2.072559845e-02,1.418289634e-09,-1.667133050e-02,-2.874506422e-09
0.8750010000,1.0700000000,2.077170166e-02,1.418503516e-09,-1.672235644e-02,-2.874713519e-09
0.8760010000,1.0750000000,2.081737977e-02,1.418717583e-09,-1.677313897e-02,-2.874919576e-09
0.8770010000,1.0800000000,2.086263346e-02,1.418931558e-09,-1.682367823e-02,-2.875127930e-09
0.8780010000,1.0850000000,2.090746341e-02,1.419145246e-09,-1.687397438e-02,-2.875335027e-09
0.8790010000,1.0900000000,2.095187031e-02,1.419360266e-09,-1.692402756e-02,-2.875543380e-09
0.8800010000,1.0950000000,2.099585483e-02,1.419573980e-09,-1.697383794e-02,-2.875749957e-09
0.8810010000,1.1000000000,2.103941765e-02,1.419788269e-09,-1.702340565e-02,-2.875956534e-09
0.8820010000,1.1050000000,2.108255944e-02,1.420002374e-09,-1.707273085e-02,-2.876164888e-09
0.8830010000,1.1100000000,2.112528088e-02,1.420216950e-09,-1.712181369e-02,-2.876372722e-09
0.8840010000,1.1150000000,2.116758264e-02,1.420430952e-09,-1.717065432e-02,-2.876579299e-09
0.8850010000,1.1200000000,2.120946540e-02,1.420645462e-09,-1.721925289e-02,-2.876787653e-09
0.8860010000,1.1250000000,2.125092982e-02,1.420859567e-09,-1.726760956e-02,-2.876994749e-09
0.8870010000,1.1300000000,2.129197658e-02,1.421074105e-09,-1.731572446e-02,-2.877202583e-09
0.8880010000,1.1350000000,2.133260635e-02,1.421288968e-09,-1.736359775e-02,-2.877410417e-09
0.8890010000,1.1400000000,2.137281979e-02,1.421502878e-09,-1.741122959e-02,-2.877617514e-09
0.8900010000,1.1450000000,2.141261758e-02,1.421717741e-09,-1.745862011e-02,-2.877825867e-09
0.8910010000,1.1500000000,2.145200037e-02,1.421931807e-09,-1.750576948e-02,-2.878032964e-09
0.8920010000,1.1550000000,2.149096883e-02,1.422146735e-09,-1.755267783e-02,-2.878241318e-09
0.8930010000,1.1600000000,2.152952363e-02,1.422360829e-09,-1.759934533e-02,-2.878449152e-09
0.8940010000,1.1650000000,2.156766543e-02,1.422575600e-09,-1.764577211e-02,-2.878657505e-09
