time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.2680010000,-1.9650000000,-0.9589315601,-0.9585249199,1.7300426570,1.7297536725
0.2690010000,-1.9600000000,-0.9553075118,-0.9548994160,1.7235173287,1.7232273222
0.2700010000,-1.9550000000,-0.9516838103,-0.9512742483,1.7169926098,1.7167015739
0.2710010000,-1.9500000000,-0.9480604581,-0.9476494193,1.7104685046,1.7101764319
0.2720010000,-1.9450000000,-0.9444374578,-0.9440249315,1.7039450178,1.7036519008
0.2730010000,-1.9400000000,-0.9408148121,-0.9404007873,1.6974221538,1.6971279850
0.2740010000,-1.9350000000,-0.9371925236,-0.9367769894,1.6908999174,1.6906046892
0.2750010000,-1.9300000000,-0.9335705950,-0.9331535404,1.6843783132,1.6840820179
0.2760010000,-1.9250000000,-0.9299490292,-0.9295304428,1.6778573461,1.6775599757
0.2770010000,-1.9200000000,-0.9263278288,-0.9259076993,1.6713370207,1.6710385675
0.2780010000,-1.9150000000,-0.9227069966,-0.9222853126,1.6648173420,1.6645177980
0.2790010000,-1.9100000000,-0.9190865356,-0.9186632853,1.6582983149,1.6579976720
0.2800010000,-1.9050000000,-0.9154664484,-0.9150416203,1.6517799444,1.6514781943
0.2810010000,-1.9000000000,-0.9118467381,-0.9114203202,1.6452622353,1.6449593700
0.2820010000,-1.8950000000,-0.9082274076,-0.9077993878,1.6387451930,1.6384412040
0.2830010000,-1.8900000000,-0.9046084598,-0.9041788261,1.6322288224,1.6319237014
0.2840010000,-1.8850000000,-0.9009898977,-0.9005586378,1.6257131288,1.6254068672
0.2850010000,-1.8800000000,-0.8973717244,-0.8969388258,1.6191981175,1.6188907066
0.2860010000,-1.8750000000,-0.8937539428,-0.8933193931,1.6126837937,1.6123752249
0.2870010000,-1.8700000000,-0.8901365563,-0.8897003426,1.6061701629,1.6058604273
0.2880010000,-1.8650000000,-0.8865195678,-0.8860816774,1.5996572305,1.5993463192
0.2890010000,-1.8600000000,-0.8829029805,-0.8824634004,1.5931450020,1.5928329059
0.2900010000,-1.8550000000,-0.8792867977,-0.8788455146,1.5866334830,1.5863201930
0.2910010000,-1.8500000000,-0.8756710226,-0.8752280233,1.5801226790,1.5798081860
0.2920010000,-1.8450000000,-0.8720556585,-0.8716109296,1.5736125959,1.5732968905
0.2930010000,-1.8400000000,-0.8684407088,-0.8679942365,1.5671032394,1.5667863121
0.2940010000,-1.8350000000,-0.8648261768,-0.8643779474,1.5605946154,1.5602764566
0.2950010000,-1.8300000000,-0.8612120659,-0.8607620655,1.5540867297,1.5537673298
0.2960010000,-1.8250000000,-0.8575983796,-0.8571465940,1.5475795883,1.5472589375
0.2970010000,-1.8200000000,-0.8539851214,-0.8535315364,1.5410731974,1.5407512857
0.2980010000,-1.8150000000,-0.8503722948,-0.8499168959,1.5345675629,1.5342443804
0.2990010000,-1.8100000000,-0.8467599034,-0.8463026760,1.5280626912,1.5277382277
0.3000010000,-1.8050000000,-0.8431479508,-0.8426888801,1.5215585885,1.5212328338
0.3010010000,-1.8000000000,-0.8395364408,-0.8390755118,1.5150552612,1.5147282048
0.3020010000,-1.7950000000,-0.8359253770,-0.8354625745,1.5085527157,1.5082243472
0.3030010000,-1.7900000000,-0.8323147632,-0.8318500718,1.5020509585,1.5017212672
0.3040010000,-1.7850000000,-0.8287046032,-0.8282380075,1.4955499962,1.4952189713
0.3050010000,-1.7800000000,-0.8250949008,-0.8246263850,1.4890498356,1.4887174662
0.3060010000,-1.7750000000,-0.8214856601,-0.8210152083,1.4825504833,1.4822167584
0.3070010000,-1.7700000000,-0.8178768849,-0.8174044809,1.4760519462,1.4757168546
0.3080010000,-1.7650000000,-0.8142685792,-0.8137942067,1.4695542312,1.4692177617
0.3090010000,-1.7600000000,-0.8106607472,-0.8101843897,1.4630573455,1.4627194865
0.3100010000,-1.7550000000,-0.8070533929,-0.8065750336,1.4565612960,1.4562220360
0.3110010000,-1.7500000000,-0.8034465205,-0.8029661425,1.4500660899,1.4497254172
0.3120010000,-1.7450000000,-0.7998401342,-0.7993577204,1.4435717347,1.4432296373
0.3130010000,-1.7400000000,-0.7962342383,-0.7957497712,1.4370782376,1.4367347035
0.3140010000,-1.7350000000,-0.7926288372,-0.7921422992,1.4305856062,1.4302406232
0.3150010000,-1.7300000000,-0.7890239351,-0.7885353085,1.4240938480,1.4237474038
0.3160010000,-1.7250000000,-0.7854195367,-0.7849288032,1.4176029708,1.4172550528
0.3170010000,-1.7200000000,-0.7818156463,-0.7813227878,1.4111129822,1.4107635779
0.3180010000,-1.7150000000,-0.7782122686,-0.7777172665,1.4046238902,1.4042729867
0.3190010000,-1.7100000000,-0.7746094082,-0.7741122436,1.3981357028,1.3977832870
0.3200010000,-1.7050000000,-0.7710070698,-0.7705077237,1.3916484281,1.3912944869
0.3210010000,-1.7000000000,-0.7674052580,-0.7669037113,1.3851620742,1.3848065943
0.3220010000,-1.6950000000,-0.7638039779,-0.7633002109,1.3786766495,1.3783196174
0.3230010000,-1.6900000000,-0.7602032341,-0.7596972271,1.3721921625,1.3718335645
0.3240010000,-1.6850000000,-0.7566030318,-0.7560947646,1.3657086215,1.3653484437
0.3250010000,-1.6800000000,-0.7530033758,-0.7524928282,1.3592260354,1.3588642638
0.3260010000,-1.6750000000,-0.7494042714,-0.7488914227,1.3527444128,1.3523810332
0.3270010000,-1.6700000000,-0.7458057236,-0.7452905530,1.3462637627,1.3458987606
0.3280010000,-1.6650000000,-0.7422077377,-0.7416902239,1.3397840941,1.3394174548
0.3290010000,-1.6600000000,-0.7386103190,-0.7380904407,1.3333054161,1.3329371249
0.3300010000,-1.6550000000,-0.7350134728,-0.7344912082,1.3268277380,1.3264577798
0.3310010000,-1.6500000000,-0.7314172047,-0.7308925317,1.3203510692,1.3199794287
0.3320010000,-1.6450000000,-0.7278215201,-0.7272944164,1.3138754191,1.3135020810
0.3330010000,-1.6400000000,-0.7242264248,-0.7236968677,1.3074007975,1.3070257462
0.3340010000,-1.6350000000,-0.7206319242,-0.7200998908,1.3009272142,1.3005504337
0.3350010000,-1.6300000000,-0.7170380244,-0.7165034912,1.2944546791,1.2940761533
0.3360010000,-1.6250000000,-0.7134447310,-0.7129076745,1.2879832022,1.2876029149
0.3370010000,-1.6200000000,-0.7098520501,-0.7093124463,1.2815127939,1.2811307285
0.3380010000,-1.6150000000,-0.7062599876,-0.7057178122,1.2750434644,1.2746596041
0.3390010000,-1.6100000000,-0.7026685497,-0.7021237781,1.2685752243,1.2681895521
0.3400010000,-1.6050000000,-0.6990777427,-0.6985303497,1.2621080842,1.2617205829
0.3410010000,-1.6000000000,-0.6954875727,-0.6949375331,1.2556420550,1.2552527070
0.3420010000,-1.5950000000,-0.6918980462,-0.6913453342,1.2491771477,1.2487859353
0.3430010000,-1.5900000000,-0.6883091697,-0.6877537592,1.2427133734,1.2423202786
0.3440010000,-1.5850000000,-0.6847209497,-0.6841628142,1.2362507434,1.2358557479
0.3450010000,-1.5800000000,-0.6811333931,-0.6805725056,1.2297892692,1.2293923545
0.3460010000,-1.5750000000,-0.6775465064,-0.6769828397,1.2233289624,1.2229301098
0.3470010000,-1.5700000000,-0.6739602967,-0.6733938231,1.2168698349,1.2164690252
0.3480010000,-1.5650000000,-0.6703747709,-0.6698054623,1.2104118987,1.2100091126
0.3490010000,-1.5600000000,-0.6667899361,-0.6662177639,1.2039551660,1.2035503837
0.3500010000,-1.5550000000,-0.6632057996,-0.6626307349,1.1974996491,1.1970928508
0.3510010000,-1.5500000000,-0.6596223686,-0.6590443820,1.1910453606,1.1906365260
0.3520010000,-1.5450000000,-0.6560396506,-0.6554587123,1.1845923133,1.1841814219
0.3530010000,-1.5400000000,-0.6524576532,-0.6518737329,1.1781405201,1.1777275510
0.3540010000,-1.5350000000,-0.6488763841,-0.6482894509,1.1716899941,1.1712749261
0.3550010000,-1.5300000000,-0.6452958509,-0.6447058737,1.1652407488,1.1648235604
0.3560010000,-1.5250000000,-0.6417160617,-0.6411230087,1.1587927976,1.1583734671
0.3570010000,-1.5200000000,-0.6381370246,-0.6375408635,1.1523461544,1.1519246595
0.3580010000,-1.5150000000,-0.6345587475,-0.6339594457,1.1459008331,1.1454771514
0.3590010000,-1.5100000000,-0.6309812390,-0.6303787632,1.1394568481,1.1390309566
0.3600010000,-1.5050000000,-0.6274045074,-0.6267988238,1.1330142136,1.1325860893
0.3610010000,-1.5000000000,-0.6238285613,-0.6232196356,1.1265729445,1.1261425636
0.3620010000,-1.4950000000,-0.6202534095,-0.6196412069,1.1201330556,1.1197003943
0.3630010000,-1.4900000000,-0.6166790608,-0.6160635458,1.1136945621,1.1132595960
0.3640010000,-1.4850000000,-0.6131055241,-0.6124866608,1.1072574795,1.1068201838
0.3650010000,-1.4800000000,-0.6095328088,-0.6089105605,1.1008218232,1.1003821729
0.3660010000,-1.4750000000,-0.6059609240,-0.6053352536,1.0943876094,1.0939455789
0.3670010000,-1.4700000000,-0.6023898794,-0.6017607490,1.0879548542,1.0875104176
0.3680010000,-1.4650000000,-0.5988196844,-0.5981870558,1.0815235740,1.0810767049
0.3690010000,-1.4600000000,-0.5952503489,-0.5946141829,1.0750937855,1.0746444571
0.3700010000,-1.4550000000,-0.5916818830,-0.5910421399,1.0686655058,1.0682136909
0.3710010000,-1.4500000000,-0.5881142966,-0.5874709361,1.0622387522,1.0617844231
0.3720010000,-1.4450000000,-0.5845476002,-0.5839005812,1.0558135423,1.0553566708
0.3730010000,-1.4400000000,-0.5809818042,-0.5803310850,1.0493898940,1.0489304514
0.3740010000,-1.4350000000,-0.5774169193,-0.5767624574,1.0429678254,1.0425057827
0.3750010000,-1.4300000000,-0.5738529564,-0.5731947086,1.0365473551,1.0360826827
0.3760010000,-1.4250000000,-0.5702899265,-0.5696278489,1.0301285020,1.0296611698
0.3770010000,-1.4200000000,-0.5667278410,-0.5660618888,1.0237112852,1.0232412625
0.3780010000,-1.4150000000,-0.5631667111,-0.5624968390,1.0172957242,1.0168229800
0.3790010000,-1.4100000000,-0.5596065487,-0.5589327103,1.0108818389,1.0104063414
0.3800010000,-1.4050000000,-0.5560473656,-0.5553695138,1.0044696496,1.0039913665
0.3810010000,-1.4000000000,-0.5524891739,-0.5518072608,0.9980591767,0.9975780753
0.3820010000,-1.3950000000,-0.5489319858,-0.5482459627,0.9916504412,0.9911664881
