time,pulldown_on,pulldown_off,pullup_on,pullup_off
8.45000000e-09,2.14169805,3.29983996,1.11084831,1.1566703e-04
8.47500000e-09,2.14131496,3.29984451,1.11103867,1.1321620e-04
8.50000000e-09,2.14093977,3.29984893,1.11122410,1.1081692e-04
8.52500000e-09,2.14057231,3.29985323,1.11140474,1.0846811e-04
8.55000000e-09,2.14021242,3.29985740,1.11158070,1.0616872e-04
8.57500000e-09,2.13985995,3.29986146,1.11175211,1.0391774e-04
8.60000000e-09,2.13951473,3.29986540,1.11191908,1.0171415e-04
8.62500000e-09,2.13917663,3.29986922,1.11208173,9.9556976e-05
8.65000000e-09,2.13884549,3.29987295,1.11224016,9.7445253e-05
8.67500000e-09,2.13852116,3.29987656,1.11239450,9.5378033e-05
8.70000000e-09,2.13820350,3.29988007,1.11254484,9.3354393e-05
8.72500000e-09,2.13789239,3.29988349,1.11269129,9.1373425e-05
8.75000000e-09,2.13758767,3.29988680,1.11283395,8.9434241e-05
8.77500000e-09,2.13728922,3.29989003,1.11297291,8.7535969e-05
8.80000000e-09,2.13699691,3.29989316,1.11310828,8.5677757e-05
8.82500000e-09,2.13671061,3.29989620,1.11324014,8.3858770e-05
8.85000000e-09,2.13643019,3.29989916,1.11336858,8.2078189e-05
8.87500000e-09,2.13615553,3.29990203,1.11349370,8.0335212e-05
8.90000000e-09,2.13588652,3.29990482,1.11361558,7.8629054e-05
8.92500000e-09,2.13562304,3.29990753,1.11373430,7.6958945e-05
8.95000000e-09,2.13536497,3.29991017,1.11384995,7.5324131e-05
8.97500000e-09,2.13511220,3.29991273,1.11396260,7.3723875e-05
9.00000000e-09,2.13486462,3.29991521,1.11407234,7.2157453e-05
9.02500000e-09,2.13462213,3.29991763,1.11417923,7.0624156e-05
9.05000000e-09,2.13438461,3.29991998,1.11428335,6.9123291e-05
9.07500000e-09,2.13415197,3.29992226,1.11438477,6.7654178e-05
9.10000000e-09,2.13392410,3.29992447,1.11448357,6.6216152e-05
9.12500000e-09,2.13370091,3.29992663,1.11457981,6.4808560e-05
9.15000000e-09,2.13348230,3.29992872,1.11467355,6.3430765e-05
9.17500000e-09,2.13326818,3.29993075,1.11476487,6.2082140e-05
9.20000000e-09,2.13305844,3.29993273,1.11485382,6.0762074e-05
9.22500000e-09,2.13285301,3.29993464,1.11494046,5.9469966e-05
9.25000000e-09,2.13265179,3.29993651,1.11502486,5.8205230e-05
9.27500000e-09,2.13245470,3.29993832,1.11510708,5.6967289e-05
9.30000000e-09,2.13226165,3.29994008,1.11518716,5.5755580e-05
9.32500000e-09,2.13207256,3.29994179,1.11526516,5.4569553e-05
9.35000000e-09,2.13188734,3.29994345,1.11534115,5.3408665e-05
9.37500000e-09,2.13170592,3.29994506,1.11541517,5.2272389e-05
9.40000000e-09,2.13152822,3.29994663,1.11548726,5.1160206e-05
9.42500000e-09,2.13135416,3.29994815,1.11555749,5.0071609e-05
9.45000000e-09,2.13118367,3.29994963,1.11562590,4.9006100e-05
